id;model;make;mileage;year;price;photo;photo_content_type
1;mobile Fish;Home Loan Account Table Computer;5808;45924;86617;../fake-data/blob/hipster.png;image/png
2;Savings Account alarm;Tasty Metal Bacon;93855;21233;77;../fake-data/blob/hipster.png;image/png
3;Officer;methodology Albania;43194;2306;29122;../fake-data/blob/hipster.png;image/png
4;Investment Account Steel;Coordinator;23277;45606;9060;../fake-data/blob/hipster.png;image/png
5;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;1326;94888;../fake-data/blob/hipster.png;image/png
6;Planner cross-platform access;Public-key;24102;44015;68326;../fake-data/blob/hipster.png;image/png
7;Investment Account;Games Regional Digitized;66252;75536;31171;../fake-data/blob/hipster.png;image/png
8;Costa Rica Mayotte;Industrial;84228;77513;44975;../fake-data/blob/hipster.png;image/png
9;e-enable Communications capacitor;Awesome;19598;52083;4522;../fake-data/blob/hipster.png;image/png
10;software scale interactive;Louisiana Specialist Home Loan Account;27599;14092;29627;../fake-data/blob/hipster.png;image/png
